annual_income,spending_score,age,purchase_frequency,category
146936.567578853,96.88519583828933,31,29,food
117236.87796314925,60.76008285537814,57,46,clothing
36825.64389198986,8.62096723943166,21,14,sports
79381.51437317595,8.48277777155263,69,20,sports
111974.70867522054,95.19089886371103,28,48,food
48390.94263557625,30.43178824042603,48,33,clothing
101483.04977909979,10.114631622165067,60,43,food
104991.0646712936,60.30541412788777,49,15,food
36964.465414156395,62.741229050736344,44,12,electronics
91286.5171811221,65.20197719175013,47,40,food
119169.63298211205,27.47280075789659,60,20,electronics
82350.91471235215,2.495957737233028,19,30,electronics
16633.920764774502,96.53652157599271,66,38,sports
16220.193325704444,25.838411523419147,26,3,electronics
63198.96143595164,67.9266025172022,45,28,electronics
140036.19923829057,70.95635711799224,48,26,sports
45871.365246487185,61.390734290869084,51,30,food
100639.09799767776,31.977832027151173,32,13,clothing
44980.24254359827,27.838529122642512,65,13,clothing
58425.44860403906,60.16915998756761,42,2,clothing
129485.68209620034,86.74346772755746,53,37,food
113396.29470644283,94.72663916341617,25,49,electronics
27878.902437283436,11.484674635972006,26,38,clothing
72874.77283316854,16.328032647174265,54,2,food
18937.918092110704,94.52888961952489,65,36,electronics
79920.16979140622,73.91698760514447,62,26,sports
104428.59157964418,88.41638865814754,56,11,clothing
30997.85418575046,21.060630779398974,49,8,electronics
53999.46675273737,59.17100123983079,69,44,clothing
68707.9444427912,70.41281984732989,34,40,clothing
139136.68832856673,68.33107665925029,52,43,clothing
149089.42708210016,41.407017395803116,54,22,electronics
21063.02536440814,2.524094277439539,36,20,food
117736.06967187792,58.70967962362205,61,8,electronics
65182.748964316335,26.05705237878127,46,29,clothing
67981.85514097981,45.575170368146146,24,40,electronics
116825.77140184806,95.80052049329791,45,26,sports
138987.56833963015,40.50449644660104,26,30,food
143375.36025784403,84.14035905977825,45,17,electronics
92911.5491151733,19.66551996917586,23,20,sports
63211.35650556788,67.57358930447785,46,16,food
121319.1265909352,97.7236884894554,34,46,sports
48885.186740410536,11.087416986420742,33,43,food
91149.9938925249,1.8236742804920092,40,7,electronics
63408.09230585788,43.92469647062882,48,16,sports
103645.19495056328,10.169922822085352,20,45,clothing
47453.85324062343,75.0900506179469,38,47,sports
40865.04767420148,91.54031772100734,43,48,food
138962.276701184,43.96807629816713,53,27,electronics
28743.497198187484,26.612452573388655,59,23,food
83304.31754421577,44.005928581654366,54,24,sports
44815.1257000062,72.6213339671501,39,9,sports
20255.545048965105,1.8963619964567269,59,35,clothing
19862.540469342563,59.35594495898502,29,20,electronics
38654.93923428669,61.71587680385053,59,37,electronics
132013.99785831003,64.13113644269762,30,42,sports
53134.6304368986,24.960185918106845,28,17,electronics
143311.98802766492,71.69121961443454,33,47,clothing
93519.00955354112,10.047757146845864,25,31,food
73942.91561878342,20.72776331021328,57,8,electronics
93311.99268037637,87.86953461879371,57,15,sports
84754.28200554615,74.13359192193008,62,31,food
117434.7942572389,2.3608098471231798,19,30,food
53136.96890633505,25.58924977661022,47,46,clothing
62661.80286604082,22.22624181632329,47,20,sports
135702.73084198884,27.809826475660284,29,39,electronics
142771.62927530473,25.508417257708754,27,12,sports
135495.36071067405,7.190103278541728,61,49,food
71625.47918423734,46.435111143085216,28,17,sports
120349.34290592902,73.54061400383034,32,42,electronics
79305.32399564833,61.066440747026206,33,30,electronics
82167.8800397238,67.6142951912099,34,29,clothing
42631.81472273333,9.033768675087677,43,19,electronics
94802.59093989972,95.19758030750194,19,46,electronics
40128.34619670197,84.01069155045946,67,11,sports
59761.23437407116,80.70394153107061,29,34,sports
130429.07721869125,82.47539669913498,68,7,food
42955.23424346546,93.33834030514338,43,44,clothing
24606.36849841343,54.88114264525607,40,34,sports
24316.025002730203,20.827919768894965,35,20,electronics
142005.91026791956,62.061577177401574,49,38,food
83434.25912484767,74.54526787312597,66,24,sports
70270.62969529748,74.05382194204851,55,10,clothing
124468.60843606899,52.62345339252113,64,32,clothing
127836.50026791966,7.777413214024228,20,15,food
59845.78947060662,37.74018090458266,55,37,food
108638.43775896236,92.15589423787237,20,20,food
119101.58014000469,58.860442065985175,47,3,food
103377.84272690387,54.29486238231563,18,37,food
35465.33509801341,27.61649792383716,47,40,electronics
133244.2162748027,37.476443071741315,62,8,electronics
87777.76461936117,89.63926282616376,49,40,sports
53133.7775599505,66.97984170515673,45,44,clothing
72405.80503408867,78.95131564848096,38,23,electronics
20072.097203852496,45.98019688369786,63,40,electronics
32262.01816502637,63.394474726159636,30,11,electronics
118348.81131964122,25.589977265577545,44,46,sports
15001.57069197443,70.84062219806515,53,8,food
71236.38684510945,43.33253203663039,24,29,sports
85538.87444655444,44.81200596665981,39,30,clothing
22375.64670013126,65.28291013311129,27,10,clothing
146365.55200126494,93.69178152542374,56,39,clothing
45526.919718705714,7.336628314253471,32,28,clothing
56066.827150897916,82.64958049735375,32,49,electronics
56032.23915442869,29.94592793080712,21,36,electronics
46106.24938584224,44.948025996131406,49,13,sports
15198.965981652042,3.1694195487258865,40,32,food
113461.54720187951,30.80356170559699,23,36,clothing
145524.14247290354,50.76049302038292,41,37,sports
45279.620243481084,6.561431657396462,37,26,electronics
104511.37089346202,49.61847720893335,54,22,electronics
115156.00413942654,92.7839522569843,37,4,food
129537.42617722084,11.433928592672716,29,31,food
72054.94159683723,76.67963207947493,50,18,food
55895.67226145795,41.55743428422327,45,38,sports
58914.8430931092,65.86219773790947,25,24,electronics
111203.87996829924,26.763423200537705,18,23,electronics
125265.22797826087,16.78973399159447,54,22,food
39517.88564714136,16.88579881285142,39,2,clothing
65077.036101298305,7.978702618671321,23,31,food
136761.92656113527,19.37902378522306,38,11,sports
123903.6251587898,66.75771911390785,49,28,food
147955.88437293423,88.2873705725073,52,46,food
116823.5150570809,81.59844287352502,32,32,sports
68081.35213876951,68.82829667757393,22,5,food
94736.1075892761,11.932754477699165,63,38,electronics
104236.92432338824,29.629557183299035,67,10,clothing
25591.535202811734,31.670880656924428,65,40,food
88507.08947902179,25.7457376933645,23,46,sports
110758.3118438023,51.98556031126259,42,24,clothing
37588.37604014315,54.01982767308758,63,35,sports
120385.28185245022,36.33171154193991,57,44,clothing
93809.32536940507,36.02512671490717,46,48,clothing
143549.94106917526,83.02700419270205,24,23,food
20727.01025793038,79.13999198364887,57,17,electronics
50819.02856998804,31.47178733639382,30,1,food
96209.77370547625,91.46505594345267,55,31,sports
55035.58814780064,95.3286866832481,35,31,sports
111447.2621496177,33.34751166097404,19,42,clothing
117465.71314046069,36.08806993051243,25,42,clothing
28839.655148974052,51.05778118877392,28,34,electronics
84370.35266791364,94.17096044083368,50,9,food
83700.22500479255,87.75562388108884,55,22,sports
64852.903979098046,11.15422829577539,65,13,clothing
140944.85644690573,39.88034358387021,44,25,electronics
126713.35318288486,55.78374778522741,37,48,sports
109123.26655780096,50.81011478260246,29,18,clothing
111434.09582422467,20.192443725752376,60,12,sports
77331.67941477108,86.02286034564732,48,40,electronics
139334.26034803776,68.0171375166869,44,17,electronics
108770.38267919353,83.95292911032855,49,15,sports
113412.44332353522,86.01766365559774,27,42,food
131328.2720112916,75.08722951290824,20,15,sports
51999.66456119579,44.48184952372202,62,15,clothing
123954.5720220049,61.44412874652703,44,39,food
41357.481399126424,16.876175205854572,52,13,clothing
61621.16355305986,67.69089633001586,48,17,sports
60307.411326428766,18.746072318188794,32,32,food
147100.93823253398,69.70100946050552,33,9,clothing
130632.52520597013,23.730217914642896,30,40,sports
109657.93131468506,12.637578714871777,66,20,sports
113152.66281807766,17.363164524152786,52,26,food
90879.82724434709,1.1972213866879566,69,27,sports
142857.2400596501,72.15522216749949,28,21,electronics
81994.9316391188,73.50770385677953,38,18,clothing
66369.89083243576,51.97840164141269,68,13,clothing
37009.770485764784,16.974917304482986,28,16,sports
121137.76305524283,9.271879413558285,47,9,sports
114149.93083020484,2.893767677291414,65,12,electronics
66887.93020075822,17.40906951955685,52,44,food
18401.110884495964,89.19469796333152,39,38,sports
128264.63924193145,24.912147328466496,55,19,sports
16541.42776629994,36.07286139450435,48,7,sports
109999.47024992188,11.429202963651985,31,35,sports
145984.7098130177,23.01376917006886,41,48,clothing
74084.27930000747,52.403232507240304,67,18,sports
46721.40967445362,61.1675156264696,66,16,clothing
110157.58635585653,25.289879102454893,49,39,sports
125312.299172104,6.715483763286604,53,4,food
88768.09267050939,39.71225404361247,49,25,electronics
145549.76215957972,24.18613372170708,32,32,food
21975.27742382475,22.735838399750392,60,40,sports
83147.4057711113,96.02641746863208,52,13,sports
111991.28288854426,62.01374810664668,20,45,sports
131456.46360513917,56.13096587403749,33,17,food
39199.507607551655,42.16173524880887,22,49,sports
123000.47003809699,43.46548900958428,38,37,food
89615.45522200361,54.54959537997,27,6,clothing
68534.74706864503,69.94655089657462,36,19,electronics
32781.528858177626,70.51246352200111,42,13,electronics
131814.92745270318,17.997696862839508,21,26,food
36231.88310426157,50.51116245558607,46,14,clothing
56821.360993228394,41.783851408376094,36,31,food
54156.14681492898,87.18216966066903,60,4,clothing
132640.8946157653,63.510473200619266,19,39,sports
105814.90421820123,53.7179025751822,27,8,clothing
122551.98862083527,12.42406957571282,60,25,clothing
48813.166336987364,60.958151043017736,42,13,clothing
99358.00344694486,12.60318666234311,37,32,electronics
92185.70772440608,34.38345098100945,65,38,clothing
127432.1008664166,15.141354516618854,36,38,sports
