area,bedrooms,bathrooms,age,location,garage,price
4825.918796832083,1,1,11.053168572686422,suburban,yes,99168.89463932964
2594.615039464926,3,1,48.91986394002979,urban,yes,434282.88512993994
4455.821661026592,6,2,37.409595298949874,rural,no,247617.41748518674
523.1532683962165,5,3,27.890661275553498,rural,yes,431135.9843931772
4189.76112833645,5,1,9.029729908765043,suburban,no,451890.59233793675
1528.8132268621557,1,1,2.6929103499013065,suburban,yes,78105.91712858215
4589.155891712156,2,1,16.002991626049173,rural,no,447559.14334372734
505.0405016604927,6,3,37.65936679567014,urban,no,251743.57491623997
3002.8178076789063,4,3,13.466564915101253,rural,no,279694.62005190447
3904.861117032206,2,2,26.977811024775256,suburban,no,331966.6299919446
1664.097488140586,2,3,,urban,yes,466872.17302853905
1369.0978906428188,6,2,,urban,yes,58602.24249339382
878.4420101059309,1,2,,rural,no,264579.5607430177
1968.9510942648183,1,3,,suburban,no,359474.9190937523
3019.299405389733,1,2,,rural,yes,375218.1309642028
1021.2973555111595,1,3,,rural,yes,361639.5941916986
2195.1291289405945,5,2,7.533805385493869,rural,yes,110495.80823365483
540.8258209372623,1,3,17.119181801677325,urban,yes,184728.01476725657
4184.057392249288,5,3,20.670822464763074,urban,yes,211421.98643765604
1078.0192314193612,5,2,37.909250553826865,suburban,yes,411996.74345577724
,1,1,37.17118930383047,suburban,no,175441.94258654886
,3,2,30.597025266866552,rural,yes,144817.23374024144
,4,3,5.296535627924648,rural,yes,480851.60856714327
4280.546762335484,2,1,7.57846857938368,rural,no,53988.478301061004
2264.6804515033846,5,2,4.6878460322778315,suburban,yes,499019.3850568902
1307.7379554072504,6,2,28.858639164377504,urban,yes,354569.584485828
3891.6447532273364,6,2,43.856922075570196,urban,yes,422811.1847521027
4049.6314184183493,4,1,21.69002561273859,rural,yes,182578.72835578694
1281.8906388840505,6,3,8.04240869788731,rural,yes,56441.87495017699
3968.8434884344542,3,2,27.902116257448352,rural,no,382041.28335268854
4762.840497153521,6,2,40.587610843285496,rural,yes,425365.0686503041
1248.6991411952254,2,2,37.0856030756465,suburban,no,383214.2593790836
3969.42931639461,2,2,44.072538983751066,urban,no,114282.62928537736
3688.574020711832,5,2,13.895104862443391,rural,yes,389042.5650156361
2631.0824979578983,1,3,9.697693363388742,suburban,no,396015.25194843847
760.6420725145923,3,3,43.990824297096935,rural,yes,346343.2320515247
836.124879910343,5,2,32.878015638901154,rural,no,394752.1697580138
4335.865966393914,3,1,15.546446500377709,urban,no,430664.64785497944
4955.667677377912,1,3,37.11740252862546,rural,yes,326121.85140685627
3542.235157340395,6,1,40.75591922401839,urban,yes,89872.12128635557
2506.812381546447,6,3,30.748912017056618,urban,yes,269432.5143502449
3414.081395308584,1,2,34.394205493995756,urban,yes,84942.20060222228
3174.781366528454,5,3,18.762995222133316,suburban,yes,233394.36396459388
2226.255171825298,1,2,26.934783367151955,suburban,no,233197.92010653243
795.3176505830583,4,3,26.207958536308112,urban,no,79704.42986310871
4196.808263333484,2,2,42.402389556538594,rural,no,206969.2402862657
2173.2508815742603,5,2,41.998199014109126,urban,no,99949.14445609169
4184.535395106921,3,2,41.63402346735216,rural,no,413705.84450415
1636.28937359772,4,2,0.5515807131232897,urban,no,476459.6116840118
504.6326593053503,5,1,37.47727422344441,rural,no,82542.41386607237
1215.2222747454043,1,2,37.93381950555024,suburban,yes,479801.84328126564
2608.4273754586297,1,1,33.91894114275709,rural,yes,285159.4697015353
4749.366357310234,1,1,37.81323289457263,urban,no,184804.55507924326
959.8712886217354,1,2,42.09851857483544,suburban,no,84587.93387427359
4343.943985077047,3,1,23.515952705089283,rural,yes,275280.92063168803
2871.608432953379,4,3,25.10251067442236,rural,yes,407531.9950208369
4216.643446099535,6,2,6.235702845569524,rural,yes,368188.9147700142
1842.6849394549668,2,1,19.26879415236809,rural,yes,72601.70515878819
4279.762241026123,3,2,32.16825899558921,rural,no,82805.82591555658
3977.70251007562,3,2,39.019988807363724,suburban,yes,231292.9771846867
1535.2415736414525,6,2,10.860454884560527,suburban,no,182880.72232157446
1091.0080688422013,6,1,6.89114495796177,suburban,no,154572.94537522152
4406.244451395318,2,3,33.15210022502461,suburban,no,176452.02450892114
4834.564940480594,2,3,0.09399417624553208,urban,yes,411567.2344835981
640.8604118638231,6,1,8.918629215366492,suburban,yes,468152.62413433427
3790.715301381585,1,2,1.4535690171976867,rural,no,232296.21253740488
4592.860299265183,3,1,8.344255892743547,rural,no,457749.9509596237
4358.120414416244,5,1,9.065963996275261,suburban,no,194673.0655615469
4840.342125215939,2,1,19.38367973751971,rural,yes,264396.6438547062
3920.4233529714375,2,2,20.1163562343278,suburban,no,151713.04901719987
2490.3444307140962,6,1,43.713123530511886,rural,yes,338214.2189791298
1903.783957228087,4,2,25.505485624941258,urban,no,490541.501828664
1943.3423319715735,5,1,36.17023828061431,urban,no,321571.8932195204
3759.9020267635265,5,3,5.206867896014372,suburban,no,211016.337851097
3856.2665541393394,2,1,11.271937773184693,suburban,yes,341517.85069573775
1401.616145969207,1,1,35.14717204893384,suburban,yes,105314.30530942441
4406.55266070739,4,3,2.6401980234264046,rural,no,449896.5861194294
3717.1581809101144,5,2,24.329883112187655,suburban,yes,276387.7778509264
3032.376288545222,2,2,29.968448283146692,urban,no,252207.38391783892
2621.8960704613073,5,1,30.107282202624052,rural,yes,313639.15480408364
2944.5476260548116,4,3,1.1466405634021015,suburban,yes,331152.7382552311
1216.60582225669,4,2,16.105400211459276,rural,yes,82299.11280193087
1416.655621743234,3,1,31.8245325524577,rural,no,357177.7495505311
910.2402068278625,6,3,7.449986807462173,suburban,yes,158869.25614198833
1191.461171725007,6,2,34.77078241640266,rural,yes,371278.6846279654
2541.621355723772,2,2,37.296260440683724,urban,no,420140.65747288853
2886.5947717771523,4,3,49.098459522307266,urban,no,411781.32839863416
580.3785161524372,3,3,10.492099742820471,rural,no,298625.4353335501
4085.590225388124,3,3,41.25653338330576,suburban,no,284076.451539838
1823.7558800456504,5,3,26.0148288459327,rural,yes,114294.18260273527
4603.2621573196,5,1,18.67312980720867,urban,yes,398905.767681411
4853.8006862619995,3,3,6.118837866258897,rural,yes,172134.22120102146
1334.5649360449445,5,2,36.77528032437688,rural,yes,273512.9402680759
2579.437808445473,4,2,11.792879957184354,urban,yes,177923.34181738252
505.5432582489165,1,1,18.571100093652287,rural,no,110222.76334986191
3192.4726930509214,4,2,3.127111344868422,rural,yes,333300.96360128146
3232.8790171820206,3,2,40.068345790975954,suburban,yes,74449.41567030673
1613.9298002151882,3,3,38.32942619858217,suburban,yes,386890.35535679
3012.8570266243905,4,2,36.680791502115625,urban,no,192914.0578675025
1514.9306409968094,5,1,14.972175524594334,urban,no,50060.611852018395
1223.7146108518552,5,3,8.674003713297862,urban,yes,280008.1126567534
3431.837600610191,6,3,31.877663223511487,suburban,no,71083.3588374214
1966.664587784337,3,1,24.808319205660972,urban,no,174276.30101940478
3156.187724985301,2,3,8.91262334523208,urban,no,368139.41935507226
2449.6103703724502,6,3,34.295563552493185,urban,no,78210.32972983964
4929.581333313068,5,1,49.556321591065185,suburban,no,427702.32156020106
1173.112892004046,4,3,37.360979387101885,rural,no,51718.9651963624
2590.693684861146,5,1,36.99931933428059,urban,no,161070.741140856
3562.0548186169635,4,1,47.51563764652958,rural,yes,383406.82526843215
2279.9528774598593,6,2,10.14681837874511,urban,yes,192321.56737818805
4886.149333418104,3,2,28.27749824607202,rural,no,95851.5746297061
3748.4943256712077,5,3,48.98233575169417,suburban,yes,212105.26346019254
3456.427359040219,4,3,8.264705548508728,suburban,yes,171676.9788730365
3906.766704250505,3,1,35.012597972226054,urban,no,429220.3559722497
4786.918871174226,2,3,29.2905072985951,rural,yes,191006.5629133144
4585.1839384308805,4,1,29.323954609435347,suburban,no,405019.61229920323
3759.2838865688536,6,1,34.88353137600376,urban,no,451342.4651648306
3871.227375955774,2,3,46.48084614378421,urban,no,245217.83880943828
1156.6493331581546,2,1,39.1290969925669,suburban,yes,459474.4147344764
962.5658202169957,1,2,2.8068051708105,suburban,yes,219793.12428343677
3069.070258298739,5,3,42.636400993785564,urban,yes,483835.2874205487
582.65436623243,4,2,11.277066496286631,rural,yes,90180.28603650781
2670.603716982162,2,3,18.8457082368186,rural,no,359158.66992645926
1446.5731096349086,1,1,23.08664068061911,rural,no,272216.3182056179
2057.074554401778,6,3,24.045300037653483,urban,yes,224441.96245504118
3991.1213110683025,3,2,21.75901996276784,suburban,no,334720.3454368704
4735.568769045739,4,1,46.86766471079322,urban,no,366735.69123544905
825.8732246585367,2,3,35.30095038320123,suburban,yes,51963.47134263909
2904.089926894003,5,3,31.558532297835317,rural,no,125128.88993623943
4471.4006861882,1,3,2.492101389147078,rural,yes,370870.7227854434
871.2884049818957,2,2,45.195666513018736,suburban,no,349873.4361101929
4210.313211035753,5,2,45.46950960041981,suburban,yes,484721.37730790477
2110.106079177221,2,3,39.01065317150512,urban,no,392467.00561285234
1949.426159987009,4,1,0.3514601906809578,rural,no,477847.7184791021
4898.598738416536,4,1,2.864012553881168,urban,yes,366143.22569066315
1403.8659043803236,4,2,11.261185113424489,urban,yes,184123.4938877494
3619.372733702064,6,1,6.5674704072453345,urban,yes,97414.21501288541
4196.483276044399,6,2,19.941801485186474,rural,yes,401820.73850522103
685.3257287567226,1,3,46.13115290438948,urban,no,339867.14966416213
3516.734562594855,4,2,23.603021709849912,urban,no,71683.70557698331
4781.974884598972,5,2,0.6701313216082805,urban,yes,212022.70965544024
1058.9898502762671,2,3,14.137284478938101,urban,no,480559.91696792876
4532.995862082673,3,1,2.229745418648077,urban,yes,275180.51556959056
3176.4948681962123,5,2,1.8143811306751079,urban,yes,244728.11120886708
3274.720618381133,6,2,13.785992654777612,rural,no,255964.8223216823
3258.2487868952267,6,3,13.78061693394727,urban,no,143997.22580232366
1844.7614885179123,5,1,39.3563301300802,suburban,yes,215918.22688915784
4708.408168847569,6,2,48.7417326390556,urban,yes,216415.96519422947
4763.077081839674,4,3,18.560354694499914,urban,yes,73559.75908436258
3313.870970962765,1,2,21.44434394305193,rural,no,395405.43283306324
4025.402266737266,2,3,42.23947181430107,rural,no,237426.99435674553
3255.160936465211,1,1,13.406951004775669,suburban,no,419980.94906739047
2679.7930140831827,2,1,7.819090220172398,suburban,no,432656.60050395294
3473.690532346628,2,1,42.65448117018252,rural,yes,145397.32461439614
2988.5065366638128,1,1,2.3250293220032745,rural,yes,345809.06697655784
3188.6413818436854,5,2,30.984972009970786,urban,yes,262526.8118733418
4027.2464903848786,2,2,28.099642373340338,rural,yes,446070.5320646683
2664.0672415204317,1,1,17.296022375084714,suburban,yes,147083.30562940435
683.3934774161274,2,1,15.75947605486795,urban,yes,355015.9401395199
1237.9976644527376,3,1,38.59288630908107,suburban,no,323488.45501372515
2473.7324742029227,5,2,4.321230538127324,urban,no,182885.66490732474
3761.7195194332626,4,1,11.83921546556927,rural,yes,111470.40664302767
3169.7539173958044,2,1,36.62243659190449,suburban,yes,343237.89221477445
3426.3238364305425,3,1,27.41602918632121,urban,no,382368.8561595488
2656.755178593293,4,3,6.399410426679319,urban,no,192032.3046935075
